uf,ano,abate_anual
AC,2005,56259
AC,2006,275405
AC,2007,446447
AC,2008,417316
AC,2009,418318
AC,2010,485166
AC,2011,455485
AC,2012,413401
AC,2013,427501
AC,2014,441728
AC,2015,420205
AC,2016,453595
AC,2017,427053
AC,2018,425104
AC,2019,416498
AC,2020,370823
AC,2021,326282
AC,2022,337834
AC,2023,466875
AC,2024,563599
AC,2025,479769
AL,2005,41246
AL,2006,155242
AL,2007,176068
AL,2008,167086
AL,2009,143710
AL,2010,193518
AL,2011,201501
AL,2012,201128
AL,2013,210921
AL,2014,192613
AL,2015,159319
AL,2016,152882
AL,2017,148132
AL,2018,132972
AL,2019,114001
AL,2020,104884
AL,2021,104417
AL,2022,139910
AL,2023,158657
AL,2024,176298
AL,2025,133366
AM,2005,20321
AM,2006,89911
AM,2007,115939
AM,2008,102152
AM,2009,115562
AM,2010,178358
AM,2011,212918
AM,2012,215436
AM,2013,223282
AM,2014,242746
AM,2015,235934
AM,2016,253446
AM,2017,257559
AM,2018,241531
AM,2019,248021
AM,2020,211634
AM,2021,155079
AM,2022,160176
AM,2023,155136
AM,2024,254107
AM,2025,254121
AP,2005,7572
AP,2008,7165
BA,2005,234931
BA,2006,922133
BA,2007,1047301
BA,2008,1120722
BA,2009,1143170
BA,2010,1177361
BA,2011,1090600
BA,2012,1172534
BA,2013,1309373
BA,2014,1372695
BA,2015,1218785
BA,2016,1141570
BA,2017,1176523
BA,2018,1192229
BA,2019,1196050
BA,2020,955050
BA,2021,925299
BA,2022,1022930
BA,2023,1223377
BA,2024,1407837
BA,2025,1092033
CE,2005,85042
CE,2006,322921
CE,2007,339766
CE,2008,345712
CE,2009,323246
CE,2010,332325
CE,2011,315165
CE,2012,278992
CE,2013,270338
CE,2014,255733
CE,2015,229445
CE,2016,200079
CE,2017,172889
CE,2018,156437
CE,2019,152141
CE,2020,128709
CE,2021,114748
CE,2022,128253
CE,2023,128509
CE,2024,139281
CE,2025,126489
DF,2005,12830
DF,2006,42419
DF,2007,45076
DF,2008,40576
DF,2009,4883
DF,2012,37022
DF,2014,21442
DF,2015,76914
ES,2005,64883
ES,2006,254915
ES,2007,310000
ES,2008,385457
ES,2009,351235
ES,2010,380421
ES,2011,305170
ES,2012,272292
ES,2013,317528
ES,2014,381357
ES,2015,351270
ES,2016,309559
ES,2017,296784
ES,2018,273365
ES,2019,284127
ES,2020,238723
ES,2021,189404
ES,2022,204493
ES,2023,293108
ES,2024,310229
ES,2025,250933
GO,2005,662391
GO,2006,2872139
GO,2007,2752019
GO,2008,3016334
