uf,ano,rebanho_cabecas,regiao
RO,2005,11349452,Norte
RO,2006,11484162,Norte
RO,2007,11007613,Norte
RO,2008,11176201,Norte
RO,2009,11532891,Norte
RO,2010,11842073,Norte
RO,2011,12182259,Norte
RO,2012,12218437,Norte
RO,2013,12329971,Norte
RO,2014,12744326,Norte
RO,2015,13397970,Norte
RO,2016,13682200,Norte
RO,2017,14091378,Norte
RO,2018,14367161,Norte
RO,2019,14349219,Norte
RO,2020,14804398,Norte
RO,2021,15110301,Norte
RO,2022,17688225,Norte
RO,2023,18162632,Norte
RO,2024,18221984,Norte
AC,2005,2313185,Norte
AC,2006,2452915,Norte
AC,2007,2315798,Norte
AC,2008,2425687,Norte
AC,2009,2511285,Norte
AC,2010,2578460,Norte
AC,2011,2549497,Norte
AC,2012,2634467,Norte
AC,2013,2697489,Norte
AC,2014,2799673,Norte
AC,2015,2916207,Norte
AC,2016,2998969,Norte
AC,2017,2895028,Norte
AC,2018,3303633,Norte
AC,2019,3509682,Norte
AC,2020,3802112,Norte
AC,2021,4047283,Norte
AC,2022,4635381,Norte
AC,2023,4908956,Norte
AC,2024,5186919,Norte
AM,2005,1197171,Norte
AM,2006,1243358,Norte
AM,2007,1208652,Norte
AM,2008,1312352,Norte
AM,2009,1350816,Norte
AM,2010,1360800,Norte
AM,2011,1439597,Norte
AM,2012,1445739,Norte
AM,2013,1470537,Norte
AM,2014,1405208,Norte
AM,2015,1293325,Norte
AM,2016,1315821,Norte
AM,2017,1343574,Norte
AM,2018,1376210,Norte
AM,2019,1455842,Norte
AM,2020,1437809,Norte
AM,2021,1496165,Norte
AM,2022,2029011,Norte
AM,2023,2377089,Norte
AM,2024,2588044,Norte
RR,2005,507000,Norte
RR,2006,508600,Norte
RR,2007,481100,Norte
RR,2008,476200,Norte
RR,2009,475380,Norte
RR,2010,577050,Norte
RR,2011,651511,Norte
RR,2012,686491,Norte
RR,2013,747045,Norte
RR,2014,735962,Norte
RR,2015,794783,Norte
RR,2016,780877,Norte
RR,2017,787318,Norte
RR,2018,817198,Norte
RR,2019,879007,Norte
RR,2020,925109,Norte
RR,2021,937989,Norte
RR,2022,1133502,Norte
RR,2023,1181553,Norte
RR,2024,1286360,Norte
PA,2005,18063669,Norte
PA,2006,17501678,Norte
PA,2007,15353989,Norte
PA,2008,16240697,Norte
PA,2009,16856561,Norte
PA,2010,17633339,Norte
PA,2011,18262547,Norte
PA,2012,18605051,Norte
PA,2013,19165028,Norte
PA,2014,19911217,Norte
PA,2015,20271618,Norte
PA,2016,20476783,Norte
PA,2017,20585367,Norte
PA,2018,20628651,Norte
PA,2019,20953429,Norte
PA,2020,22432348,Norte
PA,2021,23921005,Norte
PA,2022,24791060,Norte
PA,2023,25040621,Norte
PA,2024,25557665,Norte
AP,2005,96599,Norte
AP,2006,109081,Norte
AP,2007,103170,Norte
AP,2008,95803,Norte
AP,2009,104977,Norte
AP,2010,114773,Norte
AP,2011,127499,Norte
AP,2012,142825,Norte
AP,2013,154967,Norte
AP,2014,167529,Norte
AP,2015,89682,Norte
AP,2016,76379,Norte
AP,2017,66921,Norte
AP,2018,55422,Norte
AP,2019,54296,Norte
AP,2020,54684,Norte
AP,2021,52768,Norte
AP,2022,53691,Norte
AP,2023,54842,Norte
AP,2024,57887,Norte
TO,2005,7961926,Norte
TO,2006,7760590,Norte
TO,2007,7395450,Norte
TO,2008,7392515,Norte
TO,2009,7605249,Norte
TO,2010,7994200,Norte
TO,2011,8025400,Norte
TO,2012,8082336,Norte
TO,2013,8140580,Norte
TO,2014,8062227,Norte
TO,2015,8412404,Norte
TO,2016,8652161,Norte
TO,2017,8738477,Norte
TO,2018,8352513,Norte
TO,2019,8480724,Norte
TO,2020,9129804,Norte
TO,2021,10161938,Norte
TO,2022,10772509,Norte
TO,2023,11313309,Norte
TO,2024,11624631,Norte
MA,2005,6448948,Nordeste
MA,2006,6613270,Nordeste
MA,2007,6609438,Nordeste
MA,2008,6816338,Nordeste
MA,2009,6885265,Nordeste
MA,2010,6979844,Nordeste
MA,2011,7264106,Nordeste
MA,2012,7490942,Nordeste
MA,2013,7611324,Nordeste
MA,2014,7758352,Nordeste
MA,2015,7643128,Nordeste
MA,2016,7653870,Nordeste
MA,2017,7687695,Nordeste
MA,2018,7793180,Nordeste
MA,2019,8008643,Nordeste
MA,2020,8323445,Nordeste
MA,2021,8561509,Nordeste
MA,2022,9428128,Nordeste
MA,2023,10128610,Nordeste
MA,2024,10314237,Nordeste
PI,2005,1826833,Nordeste
PI,2006,1838378,Nordeste
PI,2007,1736520,Nordeste
PI,2008,1750910,Nordeste
PI,2009,1682111,Nordeste
PI,2010,1679957,Nordeste
PI,2011,1688024,Nordeste
PI,2012,1689926,Nordeste
PI,2013,1666107,Nordeste
PI,2014,1660099,Nordeste
PI,2015,1649549,Nordeste
PI,2016,1639856,Nordeste
PI,2017,1625006,Nordeste
PI,2018,1464196,Nordeste
PI,2019,1447817,Nordeste
PI,2020,1431540,Nordeste
PI,2021,1421095,Nordeste
PI,2022,1407772,Nordeste
PI,2023,1384189,Nordeste
PI,2024,1371078,Nordeste
CE,2005,2299233,Nordeste
CE,2006,2352589,Nordeste
CE,2007,2424290,Nordeste
CE,2008,2460523,Nordeste
CE,2009,2494482,Nordeste
CE,2010,2546134,Nordeste
CE,2011,2614604,Nordeste
CE,2012,2714713,Nordeste
CE,2013,2591067,Nordeste
CE,2014,2597139,Nordeste
CE,2015,2516197,Nordeste
CE,2016,2426408,Nordeste
CE,2017,2287400,Nordeste
CE,2018,2403371,Nordeste
CE,2019,2479289,Nordeste
CE,2020,2552916,Nordeste
CE,2021,2607005,Nordeste
CE,2022,2681690,Nordeste
CE,2023,2772173,Nordeste
CE,2024,2860949,Nordeste
RN,2005,978494,Nordeste
RN,2006,1027289,Nordeste
RN,2007,1010238,Nordeste
RN,2008,1029240,Nordeste
RN,2009,1150028,Nordeste
RN,2010,1064575,Nordeste
RN,2011,1047797,Nordeste
RN,2012,858211,Nordeste
RN,2013,914777,Nordeste
RN,2014,972816,Nordeste
RN,2015,918952,Nordeste
RN,2016,840847,Nordeste
RN,2017,870000,Nordeste
RN,2018,863284,Nordeste
RN,2019,929451,Nordeste
RN,2020,988134,Nordeste
RN,2021,1015835,Nordeste
RN,2022,1059926,Nordeste
RN,2023,1173351,Nordeste
